Num,N. roots,N. nodes,Alpha,N. edges,N. Bridge,N. Articulation points,Disperse,Dense,Max Deep,N. disconected nodes
0,6,50,0.3,352,0,0,False,True,3,237
1,6,50,0.3,381,0,0,False,True,3,237
2,6,50,0.3,376,0,0,False,True,3,237
3,6,50,0.3,367,0,0,False,True,3,237
4,6,50,0.3,379,0,0,False,True,3,237
5,6,50,0.3,394,0,0,False,True,3,237
6,6,50,0.3,354,0,0,False,True,3,237
7,6,50,0.3,359,0,0,False,True,3,237
8,6,50,0.3,371,0,0,False,True,3,237
9,6,50,0.3,382,0,0,False,True,3,237
10,6,50,0.3,365,0,0,False,True,3,237
11,6,50,0.3,359,0,0,False,True,3,237
12,6,50,0.3,403,0,0,False,True,3,237
13,6,50,0.3,384,0,0,False,True,3,237
14,6,50,0.3,377,0,0,False,True,3,237
15,6,50,0.3,376,0,0,False,True,3,237
16,6,50,0.3,350,0,0,False,True,3,237
17,6,50,0.3,407,0,0,False,True,3,237
18,6,50,0.3,347,0,0,False,True,3,237
19,6,50,0.3,391,0,0,False,True,3,237
20,6,50,0.3,362,0,0,False,True,3,237
21,6,50,0.3,402,0,0,False,True,3,237
22,6,50,0.3,353,0,0,False,True,3,237
23,6,50,0.3,361,0,0,False,True,3,237
24,6,50,0.3,386,0,0,False,True,3,237
25,6,50,0.3,371,0,0,False,True,3,237
26,6,50,0.3,373,0,0,False,True,3,237
27,6,50,0.3,372,0,0,False,True,3,237
28,6,50,0.3,376,0,0,False,True,3,237
29,6,50,0.3,361,0,0,False,True,3,237
30,6,50,0.3,362,0,0,False,True,3,237
31,6,50,0.3,366,0,0,False,True,3,237
32,6,50,0.3,360,0,0,False,True,3,237
33,6,50,0.3,393,0,0,False,True,3,237
34,6,50,0.3,396,0,0,False,True,3,237
35,6,50,0.3,377,0,0,False,True,3,237
36,6,50,0.3,385,0,0,False,True,3,237
37,6,50,0.3,364,0,0,False,True,3,237
38,6,50,0.3,368,0,0,False,True,3,237
39,6,50,0.3,409,0,0,False,True,3,237
40,6,50,0.3,414,0,0,False,True,3,237
41,6,50,0.3,402,0,0,False,True,3,237
42,6,50,0.3,395,0,0,False,True,3,237
43,6,50,0.3,390,0,0,False,True,3,237
44,6,50,0.3,358,0,0,False,True,3,237
45,6,50,0.3,377,0,0,False,True,3,237
46,6,50,0.3,387,0,0,False,True,3,237
47,6,50,0.3,371,0,0,False,True,3,237
48,6,50,0.3,377,0,0,False,True,3,237
49,6,50,0.3,390,0,0,False,True,3,237
